date,price,volume,market_cap,daily_return,asset
2024-04-06,14.698906530449127,3849535.885808781,838852316.4348359,-0.014406367473630777,dexe
2024-04-07,14.824173681137562,2163060.217384878,847494050.766758,0.008522208807093312,dexe
2024-04-08,14.96797514850516,7763065.985463887,857583444.7763984,0.009700471032026092,dexe
2024-04-09,15.75061677967811,6126212.436251858,900656958.1174879,0.05228774255755719,dexe
2024-04-10,15.814775574452007,16491617.74231748,897466622.8363749,0.004073414753933857,dexe
2024-04-11,15.774687642465745,4882530.559204462,903918629.4564855,-0.002534840396408944,dexe
2024-04-12,15.45446768285475,5645076.059816139,882212604.0119001,-0.02029960699500366,dexe
2024-04-13,13.544480243272004,8072557.676688832,776774658.036315,-0.12358804449160643,dexe
2024-04-14,11.76785711170945,5317328.226531943,671171331.8298624,-0.13116953176885926,dexe
2024-04-15,12.649520845506789,3810741.122347789,723274850.9254385,0.07492134935255557,dexe
2024-04-16,12.012807491492728,3005470.2379357875,683296516.2523782,-0.050334978043079515,dexe
2024-04-17,12.375742072932043,3382472.1062543527,706747253.3727118,0.030212303135327856,dexe
2024-04-18,12.001321738962673,2531695.267821275,685773266.7795191,-0.030254374385217164,dexe
2024-04-19,12.490816941075144,2741765.3947734237,712623490.3741481,0.04078677438696676,dexe
2024-04-20,12.856755417456604,4235124.579122608,736514585.434221,0.029296600703361486,dexe
2024-04-21,13.864962260465386,5873660.820097815,792465807.8317709,0.07841845086668298,dexe
2024-04-22,13.785465930403543,4380670.951420484,787130455.6110845,-0.005733613158726003,dexe
2024-04-23,13.548441927541464,5541893.918877828,774709075.029732,-0.0171937607374828,dexe
2024-04-24,13.856425255274699,4214027.536817845,791589256.6322975,0.022732010764068944,dexe
2024-04-25,13.337515902306608,4920491.815866166,761388595.9485052,-0.037449006032097554,dexe
2024-04-26,13.696209414213719,4432042.475031222,781209561.5252224,0.026893577074954322,dexe
2024-04-27,12.476270244442572,4053760.5827554706,713469647.9075483,-0.0890712994286662,dexe
2024-04-28,12.563639880022368,2850701.931391906,716837154.9601177,0.007002864948257637,dexe
2024-04-29,12.343507099645208,2215704.822918233,705132474.2162768,-0.01752141755727943,dexe
2024-04-30,12.570700024520358,4328068.502211499,715499479.97209,0.018405864965369556,dexe
2024-05-01,11.665777459139237,4344381.893677838,666780270.3299937,-0.07198664860477,dexe
2024-05-02,12.099480925833095,3775095.874873913,688058486.2757667,0.03717741643992056,dexe
2024-05-03,12.489049643527371,4191614.9848974016,713918952.9052551,0.03219714300821974,dexe
2024-05-04,12.97950467998725,5736464.482363985,742314039.7998275,0.03927080526211735,dexe
2024-05-05,13.171139129048491,3834801.088971314,751592908.4963331,0.014764388455956734,dexe
