realtime_start,realtime_end,date,value
2025-03-27,2025-03-27,2022-11-14,3957.25
2025-03-27,2025-03-27,2022-11-15,3991.73
2025-03-27,2025-03-27,2022-11-16,3958.79
2025-03-27,2025-03-27,2022-11-17,3946.56
2025-03-27,2025-03-27,2022-11-18,3965.34
2025-03-27,2025-03-27,2022-11-21,3949.94
2025-03-27,2025-03-27,2022-11-22,4003.58
2025-03-27,2025-03-27,2022-11-23,4027.26
2025-03-27,2025-03-27,2022-11-24,
2025-03-27,2025-03-27,2022-11-25,4026.12
2025-03-27,2025-03-27,2022-11-28,3963.94
2025-03-27,2025-03-27,2022-11-29,3957.63
2025-03-27,2025-03-27,2022-11-30,4080.11
2025-03-27,2025-03-27,2022-12-01,4076.57
2025-03-27,2025-03-27,2022-12-02,4071.7
2025-03-27,2025-03-27,2022-12-05,3998.84
2025-03-27,2025-03-27,2022-12-06,3941.26
2025-03-27,2025-03-27,2022-12-07,3933.92
2025-03-27,2025-03-27,2022-12-08,3963.51
2025-03-27,2025-03-27,2022-12-09,3934.38
2025-03-27,2025-03-27,2022-12-12,3990.56
2025-03-27,2025-03-27,2022-12-13,4019.65
2025-03-27,2025-03-27,2022-12-14,3995.32
2025-03-27,2025-03-27,2022-12-15,3895.75
2025-03-27,2025-03-27,2022-12-16,3852.36
2025-03-27,2025-03-27,2022-12-19,3817.66
2025-03-27,2025-03-27,2022-12-20,3821.62
2025-03-27,2025-03-27,2022-12-21,3878.44
2025-03-27,2025-03-27,2022-12-22,3822.39
2025-03-27,2025-03-27,2022-12-23,3844.82
2025-03-27,2025-03-27,2022-12-26,
2025-03-27,2025-03-27,2022-12-27,3829.25
2025-03-27,2025-03-27,2022-12-28,3783.22
2025-03-27,2025-03-27,2022-12-29,3849.28
2025-03-27,2025-03-27,2022-12-30,3839.5
2025-03-27,2025-03-27,2023-01-02,
2025-03-27,2025-03-27,2023-01-03,3824.14
2025-03-27,2025-03-27,2023-01-04,3852.97
2025-03-27,2025-03-27,2023-01-05,3808.1
2025-03-27,2025-03-27,2023-01-06,3895.08
2025-03-27,2025-03-27,2023-01-09,3892.09
2025-03-27,2025-03-27,2023-01-10,3919.25
2025-03-27,2025-03-27,2023-01-11,3969.61
2025-03-27,2025-03-27,2023-01-12,3983.17
2025-03-27,2025-03-27,2023-01-13,3999.09
2025-03-27,2025-03-27,2023-01-16,
2025-03-27,2025-03-27,2023-01-17,3990.97
2025-03-27,2025-03-27,2023-01-18,3928.86
2025-03-27,2025-03-27,2023-01-19,3898.85
2025-03-27,2025-03-27,2023-01-20,3972.61
2025-03-27,2025-03-27,2023-01-23,4019.81
2025-03-27,2025-03-27,2023-01-24,4016.95
2025-03-27,2025-03-27,2023-01-25,4016.22
2025-03-27,2025-03-27,2023-01-26,4060.43
2025-03-27,2025-03-27,2023-01-27,4070.56
2025-03-27,2025-03-27,2023-01-30,4017.77
2025-03-27,2025-03-27,2023-01-31,4076.6
2025-03-27,2025-03-27,2023-02-01,4119.21
2025-03-27,2025-03-27,2023-02-02,4179.76
2025-03-27,2025-03-27,2023-02-03,4136.48
2025-03-27,2025-03-27,2023-02-06,4111.08
2025-03-27,2025-03-27,2023-02-07,4164.0
2025-03-27,2025-03-27,2023-02-08,4117.86
2025-03-27,2025-03-27,2023-02-09,4081.5
2025-03-27,2025-03-27,2023-02-10,4090.46
2025-03-27,2025-03-27,2023-02-13,4137.29
2025-03-27,2025-03-27,2023-02-14,4136.13
2025-03-27,2025-03-27,2023-02-15,4147.6
2025-03-27,2025-03-27,2023-02-16,4090.41
2025-03-27,2025-03-27,2023-02-17,4079.09
2025-03-27,2025-03-27,2023-02-20,
2025-03-27,2025-03-27,2023-02-21,3997.34
2025-03-27,2025-03-27,2023-02-22,3991.05
2025-03-27,2025-03-27,2023-02-23,4012.32
2025-03-27,2025-03-27,2023-02-24,3970.04
2025-03-27,2025-03-27,2023-02-27,3982.24
2025-03-27,2025-03-27,2023-02-28,3970.15
2025-03-27,2025-03-27,2023-03-01,3951.39
2025-03-27,2025-03-27,2023-03-02,3981.35
2025-03-27,2025-03-27,2023-03-03,4045.64
2025-03-27,2025-03-27,2023-03-06,4048.42
2025-03-27,2025-03-27,2023-03-07,3986.37
2025-03-27,2025-03-27,2023-03-08,3992.01
2025-03-27,2025-03-27,2023-03-09,3918.32
2025-03-27,2025-03-27,2023-03-10,3861.59
2025-03-27,2025-03-27,2023-03-13,3855.76
2025-03-27,2025-03-27,2023-03-14,3919.29
2025-03-27,2025-03-27,2023-03-15,3891.93
2025-03-27,2025-03-27,2023-03-16,3960.28
2025-03-27,2025-03-27,2023-03-17,3916.64
2025-03-27,2025-03-27,2023-03-20,3951.57
2025-03-27,2025-03-27,2023-03-21,4002.87
2025-03-27,2025-03-27,2023-03-22,3936.97
2025-03-27,2025-03-27,2023-03-23,3948.72
2025-03-27,2025-03-27,2023-03-24,3970.99
2025-03-27,2025-03-27,2023-03-27,3977.53
2025-03-27,2025-03-27,2023-03-28,3971.27
2025-03-27,2025-03-27,2023-03-29,4027.81
2025-03-27,2025-03-27,2023-03-30,4050.83
2025-03-27,2025-03-27,2023-03-31,4109.31
2025-03-27,2025-03-27,2023-04-03,4124.51
2025-03-27,2025-03-27,2023-04-04,4100.6
2025-03-27,2025-03-27,2023-04-05,4090.38
2025-03-27,2025-03-27,2023-04-06,4105.02
2025-03-27,2025-03-27,2023-04-07,
2025-03-27,2025-03-27,2023-04-10,4109.11
2025-03-27,2025-03-27,2023-04-11,4108.94
2025-03-27,2025-03-27,2023-04-12,4091.95
2025-03-27,2025-03-27,2023-04-13,4146.22
2025-03-27,2025-03-27,2023-04-14,4137.64
2025-03-27,2025-03-27,2023-04-17,4151.32
2025-03-27,2025-03-27,2023-04-18,4154.87
2025-03-27,2025-03-27,2023-04-19,4154.52
2025-03-27,2025-03-27,2023-04-20,4129.79
2025-03-27,2025-03-27,2023-04-21,4133.52
2025-03-27,2025-03-27,2023-04-24,4137.04
2025-03-27,2025-03-27,2023-04-25,4071.63
2025-03-27,2025-03-27,2023-04-26,4055.99
2025-03-27,2025-03-27,2023-04-27,4135.35
2025-03-27,2025-03-27,2023-04-28,4169.48
2025-03-27,2025-03-27,2023-05-01,4167.87
2025-03-27,2025-03-27,2023-05-02,4119.58
2025-03-27,2025-03-27,2023-05-03,4090.75
2025-03-27,2025-03-27,2023-05-04,4061.22
2025-03-27,2025-03-27,2023-05-05,4136.25
2025-03-27,2025-03-27,2023-05-08,4138.12
2025-03-27,2025-03-27,2023-05-09,4119.17
2025-03-27,2025-03-27,2023-05-10,4137.64
2025-03-27,2025-03-27,2023-05-11,4130.62
2025-03-27,2025-03-27,2023-05-12,4124.08
2025-03-27,2025-03-27,2023-05-15,4136.28
2025-03-27,2025-03-27,2023-05-16,4109.9
2025-03-27,2025-03-27,2023-05-17,4158.77
2025-03-27,2025-03-27,2023-05-18,4198.05
2025-03-27,2025-03-27,2023-05-19,4191.98
2025-03-27,2025-03-27,2023-05-22,4192.63
2025-03-27,2025-03-27,2023-05-23,4145.58
2025-03-27,2025-03-27,2023-05-24,4115.24
2025-03-27,2025-03-27,2023-05-25,4151.28
2025-03-27,2025-03-27,2023-05-26,4205.45
2025-03-27,2025-03-27,2023-05-29,
2025-03-27,2025-03-27,2023-05-30,4205.52
2025-03-27,2025-03-27,2023-05-31,4179.83
2025-03-27,2025-03-27,2023-06-01,4221.02
2025-03-27,2025-03-27,2023-06-02,4282.37
2025-03-27,2025-03-27,2023-06-05,4273.79
2025-03-27,2025-03-27,2023-06-06,4283.85
2025-03-27,2025-03-27,2023-06-07,4267.52
2025-03-27,2025-03-27,2023-06-08,4293.93
2025-03-27,2025-03-27,2023-06-09,4298.86
2025-03-27,2025-03-27,2023-06-12,4338.93
2025-03-27,2025-03-27,2023-06-13,4369.01
2025-03-27,2025-03-27,2023-06-14,4372.59
2025-03-27,2025-03-27,2023-06-15,4425.84
2025-03-27,2025-03-27,2023-06-16,4409.59
2025-03-27,2025-03-27,2023-06-19,
2025-03-27,2025-03-27,2023-06-20,4388.71
2025-03-27,2025-03-27,2023-06-21,4365.69
2025-03-27,2025-03-27,2023-06-22,4381.89
2025-03-27,2025-03-27,2023-06-23,4348.33
2025-03-27,2025-03-27,2023-06-26,4328.82
2025-03-27,2025-03-27,2023-06-27,4378.41
2025-03-27,2025-03-27,2023-06-28,4376.86
2025-03-27,2025-03-27,2023-06-29,4396.44
2025-03-27,2025-03-27,2023-06-30,4450.38
2025-03-27,2025-03-27,2023-07-03,4455.59
2025-03-27,2025-03-27,2023-07-04,
2025-03-27,2025-03-27,2023-07-05,4446.82
2025-03-27,2025-03-27,2023-07-06,4411.59
2025-03-27,2025-03-27,2023-07-07,4398.95
2025-03-27,2025-03-27,2023-07-10,4409.53
2025-03-27,2025-03-27,2023-07-11,4439.26
2025-03-27,2025-03-27,2023-07-12,4472.16
2025-03-27,2025-03-27,2023-07-13,4510.04
2025-03-27,2025-03-27,2023-07-14,4505.42
2025-03-27,2025-03-27,2023-07-17,4522.79
2025-03-27,2025-03-27,2023-07-18,4554.98
2025-03-27,2025-03-27,2023-07-19,4565.72
2025-03-27,2025-03-27,2023-07-20,4534.87
2025-03-27,2025-03-27,2023-07-21,4536.34
2025-03-27,2025-03-27,2023-07-24,4554.64
2025-03-27,2025-03-27,2023-07-25,4567.46
2025-03-27,2025-03-27,2023-07-26,4566.75
2025-03-27,2025-03-27,2023-07-27,4537.41
2025-03-27,2025-03-27,2023-07-28,4582.23
2025-03-27,2025-03-27,2023-07-31,4588.96
2025-03-27,2025-03-27,2023-08-01,4576.73
2025-03-27,2025-03-27,2023-08-02,4513.39
2025-03-27,2025-03-27,2023-08-03,4501.89
2025-03-27,2025-03-27,2023-08-04,4478.03
2025-03-27,2025-03-27,2023-08-07,4518.44
2025-03-27,2025-03-27,2023-08-08,4499.38
2025-03-27,2025-03-27,2023-08-09,4467.71
2025-03-27,2025-03-27,2023-08-10,4468.83
2025-03-27,2025-03-27,2023-08-11,4464.05
2025-03-27,2025-03-27,2023-08-14,4489.72
2025-03-27,2025-03-27,2023-08-15,4437.86
2025-03-27,2025-03-27,2023-08-16,4404.33
2025-03-27,2025-03-27,2023-08-17,4370.36
2025-03-27,2025-03-27,2023-08-18,4369.71
2025-03-27,2025-03-27,2023-08-21,4399.77
2025-03-27,2025-03-27,2023-08-22,4387.55
2025-03-27,2025-03-27,2023-08-23,4436.01
2025-03-27,2025-03-27,2023-08-24,4376.31
2025-03-27,2025-03-27,2023-08-25,4405.71
2025-03-27,2025-03-27,2023-08-28,4433.31
2025-03-27,2025-03-27,2023-08-29,4497.63
2025-03-27,2025-03-27,2023-08-30,4514.87
2025-03-27,2025-03-27,2023-08-31,4507.66
2025-03-27,2025-03-27,2023-09-01,4515.77
2025-03-27,2025-03-27,2023-09-04,
2025-03-27,2025-03-27,2023-09-05,4496.83
2025-03-27,2025-03-27,2023-09-06,4465.48
2025-03-27,2025-03-27,2023-09-07,4451.14
2025-03-27,2025-03-27,2023-09-08,4457.49
2025-03-27,2025-03-27,2023-09-11,4487.46
2025-03-27,2025-03-27,2023-09-12,4461.9
2025-03-27,2025-03-27,2023-09-13,4467.44
2025-03-27,2025-03-27,2023-09-14,4505.1
2025-03-27,2025-03-27,2023-09-15,4450.32
2025-03-27,2025-03-27,2023-09-18,4453.53
2025-03-27,2025-03-27,2023-09-19,4443.95
2025-03-27,2025-03-27,2023-09-20,4402.2
2025-03-27,2025-03-27,2023-09-21,4330.0
2025-03-27,2025-03-27,2023-09-22,4320.06
2025-03-27,2025-03-27,2023-09-25,4337.44
2025-03-27,2025-03-27,2023-09-26,4273.53
2025-03-27,2025-03-27,2023-09-27,4274.51
2025-03-27,2025-03-27,2023-09-28,4299.7
2025-03-27,2025-03-27,2023-09-29,4288.05
2025-03-27,2025-03-27,2023-10-02,4288.39
2025-03-27,2025-03-27,2023-10-03,4229.45
2025-03-27,2025-03-27,2023-10-04,4263.75
2025-03-27,2025-03-27,2023-10-05,4258.19
